M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
1e-05	1e-05	10	0.3652	0.38133	0.49524	0.5
M	S	R	C	V	1
1e-05	1e-05	10	0.3713	0.38692	0.5	0.50476
1e-05	1e-05	100	0.3477	0.3578	0.5	0.5
1e-05	1e-05	1000	0.24963	0.14572	0.1619	0.21905
1e-05	1e-05	10000	0.24281	0.086441	0.16667	0.19048
1e-05	1e-05	1e+05	0.24444	0.1124	0.17619	0.20476
1e-05	1e-05	1e+06	0.24818	0.14202	0.18095	0.21905
1e-05	0.0001	10	0.37463	0.3904	0.5	0.50476
1e-05	0.0001	100	0.34343	0.33461	0.45714	0.4619
1e-05	0.0001	1000	0.24462	0.098743	0.1619	0.19524
1e-05	0.0001	10000	0.24584	0.1195	0.17619	0.20952
1e-05	0.0001	1e+05	0.24424	0.096601	0.1619	0.19524
1e-05	0.0001	1e+06	0.24628	0.135	0.18095	0.21905
1e-05	0.001	10	0.32257	0.3232	0.46667	0.46667
1e-05	0.001	100	0.32777	0.35063	0.50476	0.50476
1e-05	0.001	1000	0.27579	0.20197	0.2619	0.30952
1e-05	0.001	10000	0.24494	0.10821	0.17143	0.20476
1e-05	0.001	1e+05	0.24319	0.070699	0.15714	0.18095
1e-05	0.001	1e+06	0.24585	0.11135	0.16667	0.20476
1e-05	0.01	10	0.53529	0.56297	0.59048	0.61905
1e-05	0.01	100	0.34369	0.33403	0.46667	0.47143
1e-05	0.01	1000	0.29827	0.25305	0.35714	0.38095
1e-05	0.01	10000	0.24531	0.11711	0.17619	0.20952
1e-05	0.01	1e+05	0.24668	0.12456	0.16667	0.20952
1e-05	0.01	1e+06	0.24264	0.097371	0.17619	0.2
1e-05	0.1	10	0.53631	0.54506	0.65714	0.6619
1e-05	0.1	100	0.35891	0.36404	0.44762	0.45238
1e-05	0.1	1000	0.50564	0.52378	0.64762	0.65238
1e-05	0.1	10000	0.24566	0.12438	0.17619	0.20952
1e-05	0.1	1e+05	0.24461	0.097381	0.1619	0.19524
1e-05	0.1	1e+06	0.24335	0.080223	0.16667	0.18571
1e-05	1	10	0.48682	0.52346	0.59524	0.6381
1e-05	1	100	0.36374	0.3784	0.5	0.50476
1e-05	1	1000	0.46039	0.508	0.66667	0.66667
1e-05	1	10000	0.24442	0.11247	0.17619	0.20476
1e-05	1	1e+05	0.24348	0.092676	0.17143	0.19524
1e-05	1	1e+06	0.2438	0.10594	0.18095	0.2
1e-05	10	10	0.41141	0.43353	0.5	0.53333
1e-05	10	100	0.35357	0.40434	0.51429	0.52381
1e-05	10	1000	0.47102	0.51796	0.67619	0.67619
1e-05	10	10000	0.2488	0.15049	0.18095	0.22857
1e-05	10	1e+05	0.24428	0.10965	0.17619	0.20476
1e-05	10	1e+06	0.24224	0.077412	0.16667	0.18571
1e-05	100	10	0.48488	0.49798	0.62857	0.63333
1e-05	100	100	0.35034	0.37911	0.48095	0.48571
1e-05	100	1000	0.3945	0.46861	0.56667	0.57143
1e-05	100	10000	0.24591	0.13464	0.18095	0.21905
1e-05	100	1e+05	0.24273	0.079194	0.1619	0.18571
1e-05	100	1e+06	0.24377	0.10724	0.18571	0.20476
1e-05	1000	10	0.48552	0.50337	0.62857	0.63333
1e-05	1000	100	0.36417	0.39885	0.49048	0.51905
