M	S	R	C	V	1
0.01	7	0.60952	0.51418	0.6381	0.35375
1	7	0.60952	0.51418	0.6381	0.16377
100	7	0.60952	0.51418	0.6381	0.16493
0.01	50	0.38095	0.27886	0.66667	0.19538
1	50	0.38095	0.27886	0.66667	0.19269
100	50	0.3619	0.28755	0.66667	0.18736
0.01	100	0.3	0.19691	0.68571	0.24358
1	100	0.3	0.19691	0.68571	0.27853
100	100	0.3	0.18529	0.69048	0.3328

W	i	k	i	p	e	d	i	a	A	r	t	i	c	l	e	s
0.01	10	0.18903	0.058455	0.27706	0.31579
1	10	0.19481	0.054472	0.28139	0.31038
100	10	0.19481	0.054472	0.28139	0.30571
0.01	50	0.19769	0.063077	0.29004	0.35567
1	50	0.19481	0.059866	0.2785	0.33746
100	50	0.19336	0.062724	0.29582	0.33637
0.01	100	0.17605	0.056374	0.34488	0.43134
1	100	0.20058	0.072109	0.28283	0.41089
100	100	0.19481	0.069045	0.27706	0.38059

C	a	l	t	e	c	h	1	0	1	-	7
0.01	7	0.3365	0.12456	0.38942	0.51278
1	7	0.33582	0.12356	0.38874	0.50342
100	7	0.30461	0.11728	0.35685	0.50395
0.01	50	0.29376	0.078317	0.3806	0.64773
1	50	0.30258	0.078681	0.39145	0.65228
100	50	0.32768	0.12325	0.37517	0.64797
0.01	100	0.37042	0.11853	0.49796	0.91536
1	100	0.37042	0.11943	0.50068	0.91988
100	100	0.36024	0.16449	0.4559	0.95674


[Fscore nmi ACC Purity]


M	S	R	C	V	1
0.01	7	0.4752	0.51944	0.60952	0.6381	0.16552
1	7	0.4752	0.51944	0.60952	0.6381	0.1557
100	7	0.4752	0.51944	0.60952	0.6381	0.1568
0.01	50	0.27791	0.33739	0.38095	0.66667	0.18767
1	50	0.27791	0.33739	0.38095	0.66667	0.18328
100	50	0.28944	0.34791	0.3619	0.66667	0.18047
0.01	100	0.2507	0.25104	0.3	0.68571	0.23356
1	100	0.2507	0.25104	0.3	0.68571	0.23672
100	100	0.25584	0.23639	0.3	0.69048	0.23936

W	i	k	i	p	e	d	i	a	A	r	t	i	c	l	e	s
0.01	10	0.13529	0.059823	0.18903	0.27706	0.31355
1	10	0.13654	0.055938	0.19481	0.28139	0.30451
100	10	0.13654	0.055938	0.19481	0.28139	0.30581
0.01	50	0.14448	0.064805	0.19769	0.29004	0.34042
1	50	0.13712	0.061851	0.19481	0.2785	0.3309
100	50	0.14416	0.065003	0.19336	0.29582	0.31513
0.01	100	0.14596	0.059389	0.17605	0.34488	0.40707
1	100	0.14434	0.073417	0.20058	0.28283	0.38536
100	100	0.1415	0.070081	0.19481	0.27706	0.36933

C	a	l	t	e	c	h	1	0	1	-	7
0.01	7	0.30783	0.14494	0.3365	0.38942	0.51554
1	7	0.30805	0.14362	0.33582	0.38874	0.50309
100	7	0.28712	0.13815	0.30461	0.35685	0.49304
0.01	50	0.27464	0.091061	0.29376	0.3806	0.65629
1	50	0.28113	0.091106	0.30258	0.39145	0.65366
